"","id","elevation","slope","TPI","flowdir","x","y"
"1",0,34.0838737487793,3.11139811760582,0.125408172607422,16,4338791.178,3460951.308
"2",2,29.8789501190186,1.56364718533938,0.0709567070007324,32,4330840.872,3465001.606
"3",3,18.2129898071289,0.68285720565948,0.102744817733765,8,4336500.958,3472005.374
"4",4,49.9967346191406,1.8167675107546,-0.0812010765075684,4,4332768.947,3465317.367
"5",5,17.6920204162598,5.6048786672297,0.26414954662323,128,4329877.79,3471413.504
"6",6,-0.5,1.20039229541208,-0.370415478944778,128,4325427.364,3473167.986
"7",8,36.494083404541,4.9777726750151,0.856162548065186,2,4337521.278,3464473.536
"8",9,48.2017669677734,0.255326128483087,-0.0630693435668945,1,4330091.697,3462867.887
"9",10,28.886402130127,0.365981641900914,-0.106281280517578,32,4337954.146,3463009.128
"10",11,24.2217483520508,1.55594255900994,-0.082089900970459,8,4337240.231,3466061.809
"11",12,15.3964872360229,3.48091038856967,-0.383348345756531,128,4329118.133,3466156.056
"12",13,18.4371700286865,2.87717272039122,0.0635931491851807,64,4332167.346,3467791.949
"13",14,52.3763542175293,2.16785640103888,0.0822582244873047,8,4338095.497,3462033.191
"14",15,29.6767711639404,1.90023539794624,-0.195882797241211,16,4331068.345,3466392.564
"15",16,27.4279079437256,2.11937838586876,-0.00565290451049805,16,4337015.408,3471408.166
"16",17,10.8584518432617,1.24101295349135,0.0870155096054077,128,4324388.466,3464324.257
"17",18,26.1194763183594,1.43522770473823,0.0295014381408691,2,4337766.462,3473753.236
"18",19,19.092264175415,1.0477844355619,-0.0732851028442383,16,4327225.008,3471878.412
"19",21,30.1680850982666,0.801346285939016,0.0431199073791504,64,4327710.808,3467106.172
"20",22,20.9070930480957,1.32553244834603,-0.129601240158081,16,4336040.637,3460422.94
"21",23,26.2226543426514,1.66834160536148,-0.0399904251098633,32,4323864.466,3467654.811
"22",24,14.3796081542969,1.65021832995542,0.196887493133545,64,4334880.774,3472804.092
"23",25,-0.149374902248383,2.13097687959455,-0.641630500555038,64,4326659.646,3473720.123
"24",26,28.1784973144531,0.97312593442995,0.100880861282349,32,4325155.615,3462120.597
"25",27,25.9074897766113,1.13202140561894,-0.0233039855957031,4,4324973.455,3462863.753
"26",28,48.3688201904297,1.51046723211243,0.027402400970459,4,4330917.025,3461874.936
"27",29,11.3581247329712,1.5040999739048,-0.0374221801757812,16,4325818.508,3473123.454
"28",30,14.2184562683105,2.49561742284679,-0.184149622917175,8,4332206.861,3468092.726
"29",31,11.5485382080078,0.685570617711163,-0.0516871213912964,4,4325105.444,3466532.403
"30",32,28.5066013336182,0.458327803655403,-0.00229334831237793,4,4336531.669,3462764.364
"31",33,13.3377351760864,1.19114704284503,-0.205286860466003,1,4329683.028,3471910.538
"32",35,17.3380889892578,0.456984521472104,-0.0339224338531494,4,4323637.438,3470144.627
"33",36,35.5835380554199,0.586069987057831,0.04180908203125,64,4334933.382,3471172.195
"34",37,41.196346282959,3.1061380180655,0.458475589752197,64,4328149.226,3465766.708
"35",38,22.4485397338867,1.88184568257965,0.137800693511963,4,4328674.212,3468186.138
"36",39,7.81149530410767,1.03786480692031,0.0286838412284851,2,4334700.724,3468229.246
"37",40,15.6766328811646,1.33578491707345,-0.373068690299988,64,4333724.941,3468227.786
"38",41,20.7067947387695,0.84520628911241,0.0405066013336182,1,4322819.117,3470254.798
"39",42,13.2066431045532,0.684008204550411,-0.0234612226486206,16,4324671.839,3474981.634
"40",43,33.7721977233887,4.86167145954538,-0.0838534832000732,32,4338554.268,3467573.227
"41",44,22.1595516204834,0.754467498188515,0.057581901550293,8,4330178.897,3474387.872
"42",45,20.9946269989014,3.65783565008758,0.103515625,64,4328108.68,3473410.326
"43",46,38.882209777832,0.284118794756512,0.0583944320678711,4,4329399.464,3463990.177
"44",47,15.4169855117798,1.94348700838549,0.000718832015991211,32,4335702.209,3465943.338
"45",48,9.09669303894043,2.13499448624863,-0.0773240327835083,8,4325351.545,3464315.626
"46",49,19.2583675384521,4.04451731861854,0.718557953834534,64,4337287.691,3470410.895
"47",50,32.9469947814941,1.40740258574555,0.0637917518615723,4,4330831.727,3466595.86
"48",51,34.1468696594238,0.880388268104873,-0.229187488555908,8,4329216.309,3470565.05
"49",53,40.8243293762207,1.26524551503068,0.00734472274780273,128,4331261.322,3464021.644
"50",54,22.7694835662842,1.38937087137717,-0.0436019897460938,64,4337048.175,3470064.166
"51",56,33.0095329284668,2.41541420963775,0.495131492614746,2,4330898.787,3466577.248
"52",57,20.0550785064697,0.610790117012494,-0.0396080017089844,32,4337920.651,3473265.466
"53",59,21.4427070617676,1.07298467953018,-0.105068206787109,4,4325519.459,3466688.155
"54",60,13.1705627441406,1.63398681655864,-0.308757662773132,64,4327711.669,3474872.912
"55",61,23.1837577819824,1.08988092324326,0.120522737503052,64,4336483.906,3469955.297
"56",62,36.6205978393555,2.23788444632917,-0.141893863677979,128,4324456.472,3461046.829
"57",63,6.06846189498901,2.09435000898952,0.0281900763511658,8,4335290.035,3467714.328
"58",64,49.1899337768555,1.9988372156782,-0.0326180458068848,1,4334444.286,3463304.867
"59",65,8.07927417755127,1.3884046317526,-0.0732297897338867,32,4327011.79,3474341.154
"60",66,32.0085601806641,2.33584585963684,0.0176544189453125,64,4337364.109,3473998.569
"61",67,23.581958770752,2.03409643339546,-0.115816831588745,8,4338217.9,3464461.223
"62",69,38.5087509155273,2.57351358884527,0.0898222923278809,128,4333541.21,3462470.054
"63",71,10.4226541519165,0.813146430262639,0.0430705547332764,1,4323350.95,3473809.583
"64",72,64.6041030883789,2.71130854926468,0.178001403808594,1,4333054.596,3460305.564
"65",73,21.13503074646,1.89076729456123,-0.0376317501068115,1,4338622.872,3474239.962
"66",74,21.5534191131592,0.875083175660175,0.0549054145812988,16,4326419.924,3469222.004
"67",75,20.5525341033936,1.16860134575169,0.0723636150360107,2,4328673.227,3474407.381
"68",76,5.64215564727783,0.830527011459769,0.0358655452728271,32,4335856.711,3466571.237
"69",77,29.1177711486816,2.6740638226708,0.114560127258301,2,4336861.308,3468919.341
"70",78,5.33533525466919,0.554613146409576,0.254864513874054,32,4335208.773,3467343.815
"71",79,38.0816841125488,1.08313652720701,0.308625221252441,8,4336750.296,3463888.852
"72",80,44.2408981323242,0.994351873089256,0.132210254669189,4,4325643.762,3468356.884
"73",81,22.7174205780029,2.11604165574389,-0.176514625549316,4,4328980.325,3471537.158
"74",82,13.4360389709473,1.74500185537277,0.247927308082581,2,4323656.534,3472888.84
"75",83,19.4990787506104,0.868755758697465,-0.0912849903106689,16,4323034.118,3462130.418
"76",84,38.4590606689453,3.60570888812174,-0.146256923675537,16,4335434.073,3464413.136
"77",85,48.5603981018066,6.1307340569817,0.246243953704834,128,4334980.509,3463615.671
"78",86,52.8994178771973,1.43949768210508,-0.0417051315307617,8,4334666.793,3463203.897
"79",87,12.1862459182739,0.760266012131642,-0.0888588428497314,4,4323469.244,3474903.317
"80",88,13.0423517227173,0.971363943582131,-0.178427934646606,64,4335136.424,3472879.437
"81",89,15.3808536529541,0.839409664557757,-0.0936740636825562,1,4327381.44,3466348.96
"82",90,42.7451858520508,2.06034701833033,-0.00108671188354492,32,4331500.913,3465078.119
"83",91,5.97018957138062,1.00580211784414,-0.0963245630264282,4,4325885.739,3475395.004
"84",92,54.138256072998,8.31097803589785,-0.288357734680176,16,4334645.914,3463399.144
"85",93,17.7302284240723,1.87459826026411,-0.0421926975250244,32,4328374.254,3475537.974
"86",94,19.7593460083008,3.14052848423939,-0.416143655776978,64,4326252.135,3468057.312
"87",96,62.7612495422363,3.62077473017724,-0.11024808883667,4,4334708.866,3461191.966
"88",97,62.1492691040039,3.05841754910396,0.246845245361328,1,4334482.515,3460679.04
"89",98,25.1260299682617,0.495369560451342,-0.0198392868041992,16,4323137.074,3470723.356
